;Strecke;avg_lat;avg_lon;dist_lat;dist_lon;zoom
Belli Bike;26;47.408495200797915;8.338283621706069;0.05753355100750923;0.06555008701980114;11
Scuol;140;46.672873394563794;10.000006528571248;0.25450509041547775;-0.00002129003405570984;9
Einsiedeln;101;47.08791569340974;8.782059419900179;0.18057175911962986;0.17352886497974396;10
5Seen;12;46.98659864254296 ;9.404139085672796;0.030206870287656784;0.029946109279990196;13
Belli Chur;150;47.13068791665137;8.954061730764806;0.5193502642214298;1.2180183548480272;8.5
